iter	Passed	Remaining
0	58	8719
1	59	4390
2	60	2959
3	61	2236
4	62	1803
5	63	1513
6	63	1307
7	65	1154
8	65	1033
9	66	935
10	67	855
11	68	788
12	69	732
13	70	682
14	71	639
15	72	603
16	72	570
17	73	540
18	74	514
19	75	490
20	76	468
21	77	448
22	77	429
23	78	412
24	79	398
25	80	384
26	81	370
27	82	358
28	83	346
29	83	335
30	84	324
31	85	315
32	86	306
33	87	297
34	88	289
35	88	281
36	89	274
37	90	266
38	91	260
39	92	253
40	93	247
41	93	241
42	94	235
43	95	230
44	96	224
45	97	219
46	98	214
47	98	210
48	99	205
49	100	200
50	101	196
51	102	193
52	103	188
53	104	184
54	104	181
55	105	177
56	106	174
57	107	170
58	108	167
59	109	163
60	110	160
61	111	157
62	111	154
63	112	151
64	113	148
65	114	145
66	115	142
67	116	140
68	117	137
69	117	134
70	118	132
71	119	129
72	120	127
73	121	124
74	122	122
75	122	119
76	123	117
77	124	114
78	125	112
79	126	110
80	126	108
81	127	106
82	128	104
83	129	101
84	130	99
85	131	97
86	132	95
87	133	93
88	134	91
89	135	90
90	136	88
91	136	86
92	137	84
93	138	82
94	139	80
95	140	78
96	141	77
97	142	75
98	143	74
99	144	72
100	145	70
101	146	68
102	147	67
103	148	65
104	149	63
105	150	62
106	151	60
107	151	59
108	152	57
109	153	55
110	154	54
111	155	52
112	156	51
113	156	49
114	157	48
115	158	46
116	159	45
117	160	43
118	161	42
119	162	40
120	163	39
121	163	37
122	164	36
123	165	34
124	166	33
125	167	31
126	168	30
127	169	29
128	169	27
129	170	26
130	171	24
131	172	23
132	172	22
133	173	20
134	174	19
135	175	18
136	176	16
137	177	15
138	178	14
139	179	12
140	180	11
141	180	10
142	181	8
143	182	7
144	183	6
145	184	5
146	185	3
147	186	2
148	187	1
149	188	0
